[2025-12-15 19:13:18] === Starting HTML Reorganization ===
[2025-12-15 19:13:18] Timestamp: 12/15/2025 19:13:18
[2025-12-15 19:13:18] Creating backup at .\html_backup_20251215_191318
[2025-12-15 19:13:19] Backup completed. See .\reorganization-report-20251215_191318.log.robocopy.log for details.
[2025-12-15 19:13:30] [LEGACY] Anweisungen\together-systems-fixed-patch-v1.0.0\v1.0.0-PRODUCTION-20251124-222131\TELBANK\index.html -> legacy\index.html
[2025-12-15 19:13:30] [MOVE] app\admin\admin-monitoring.html -> app\admin\admin-monitoring.html
[2025-12-15 19:13:30] [MOVE] app\admin\admin.html -> app\admin\admin.html
[2025-12-15 19:13:30] [MOVE] app\admin\business-admin.html -> app\admin\business-admin.html
[2025-12-15 19:13:30] [MOVE] app\admin\transfer-admin.html -> app\admin\transfer-admin.html
[2025-12-15 19:13:30] [MOVE] app\api\api-einbindung-status.html -> app\api\api-einbindung-status.html
[2025-12-15 19:13:30] [MOVE] app\api\api-routen-overview.html -> app\api\api-routen-overview.html
[2025-12-15 19:13:30] [MOVE] app\api\bankapigobddokumentation.html -> app\api\bankapigobddokumentation.html
[2025-12-15 19:13:30] [MOVE] app\api\github-pages-api-fix.html -> app\api\github-pages-api-fix.html
[2025-12-15 19:13:30] [MOVE] app\api\tpga-kapitalberechnung.html -> app\api\tpga-kapitalberechnung.html
[2025-12-15 19:13:30] [MOVE] app\api\vollstndige-cms-apis-implementierung.html -> app\api\vollstndige-cms-apis-implementierung.html
[2025-12-15 19:13:30] [MOVE] app\dashboard\aquarium-dashboard.html -> app\dashboard\aquarium-dashboard.html
[2025-12-15 19:13:30] [MOVE] app\dashboard\fabrikage-scripts-dashboard.html -> app\dashboard\fabrikage-scripts-dashboard.html
[2025-12-15 19:13:30] [MOVE] app\dashboard\investor-dashboard-tpga.html -> app\dashboard\investor-dashboard-tpga.html
[2025-12-15 19:13:30] [MOVE] app\dashboard\production-dashboard-implementation.html -> app\dashboard\production-dashboard-implementation.html
[2025-12-15 19:13:30] [MOVE] app\dashboard\production-dashboard.html -> app\dashboard\production-dashboard.html
[2025-12-15 19:13:30] [MOVE] app\dashboard\produktionsordner-dashboard.html -> app\dashboard\produktionsordner-dashboard.html
[2025-12-15 19:13:30] [MOVE] app\dashboard\produktionsprozess-dateien-dashboard.html -> app\dashboard\produktionsprozess-dateien-dashboard.html
[2025-12-15 19:13:30] [MOVE] app\dashboard\settings-master-dashboard.html -> app\dashboard\settings-master-dashboard.html
[2025-12-15 19:13:30] [MOVE] app\dashboard\togethersystems-statistical-production-dashboard.html -> app\dashboard\togethersystems-statistical-production-dashboard.html
